filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pu	fop pu	puf pu	pef pu	puf pu	control	4
09.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kur li	control	4
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kur li	control	4
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur	kur pu	control	4
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur	kur pu	control	4
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	kur li	kur li	kur li	kur li	control	4
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur li	kur li	control	4
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pu	kur	kur pu	kur li	kur pu	control	4
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur	kur	kur li	kur pu	kur pu	control	4
13.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan li	yan	yan li	control	4
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan	yan	yan li	control	4
14.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan	yan	yan pu	control	4
14d.png	sin	book	blue	cent	no	no	no	yan	yan	yan	meep	yan	yan pu	control	4
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	yan li	yan li	yan li	yan li	yan li	control	4
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	yan li	yan li	yan li	yan li	control	4
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	yan pu	yan pu	yan pu	li pu	yan pu	control	4
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan pu	yan pu	yan pu	yan li	yan pu	control	4
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb li	meeb li	meeb li	li	meeb li	control	5
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb li	meeb li	li	li	meeb li	control	5
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb pu	pu	meeb pu	meeb pu	meeb pu	control	5
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	control	5
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meeb li	meeb li	yan li	li	li	control	5
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb li	meeb li	li	meeb li	control	5
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	control	5
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pu	meeb pu	meeb bpu	pu	meeb pu	control	5
05.png	sin	cup	yellow	cent	no	no	no	fop	yan li	yan li	li	li	li	control	5
05d.png	sin	cup	yellow	cent	no	no	no	fop	yan li	li	li	li	li	control	5
06.png	sin	cup	blue	cent	no	no	no	fop	yan pu	pu	pu	pu	pu	control	5
06d.png	sin	cup	blue	cent	no	no	no	fop	pu	yan pu	pu	pu	pu	control	5
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	yan li	li	yan li	li	li	control	5
07.png	rel	cup	yellow	right	pen	blue	left	fop li	yan li	yan li	yan li	li	li	control	5
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	yan pu	yan pu	yan pu	pu	pu	control	5
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	yan pu	yan pu	yan pu	pu	pu	control	5
09.png	sin	ball	yellow	cent	no	no	no	kur	yan	li	li	li	li	control	5
09d.png	sin	ball	yellow	cent	no	no	no	kur	li	li	li	li	li	control	5
10.png	sin	ball	blue	cent	no	no	no	kur	pu	pu	pu	pu	pu	control	5
10d.png	sin	ball	blue	cent	no	no	no	kur	pu	pu	pu	pu	pu	control	5
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	li	li	yan li	li	li	control	5
11.png	rel	ball	yellow	right	pen	blue	left	kur li	li	li	yan li	li	li	control	5
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	pu	pu	yan pu	pu	pu	control	5
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	pu	pu	yan pu	pu	pu	control	5
13.png	sin	book	yellow	cent	no	no	no	yan	li	yan li	li	li	li	control	5
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	yan li	li	li	li	control	5
14.png	sin	book	blue	cent	no	no	no	yan	yan	yan pu	pu	pu	pu	control	5
14d.png	sin	book	blue	cent	no	no	no	yan	pu	pu	pu	pu	pu	control	5
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	li	yan li	yan li	li	li	control	5
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	yan li	yan li	li	li	control	5
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	pu	pu	yan pu	pu	pu	control	5
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan pu	pu	yan pu	pu	pu	control	5
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb li	meeb li	meeb li	yang li	control	6
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb li	meeb li	meeb li	yang li	control	6
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb pu	meeb pu	meeb pu	yang pu	control	6
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb pu	meeb pu	meeb pu	yang pu	control	6
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meeb li	meeb li	meeb li	meeb li	yang li	control	6
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb li	meeb li	meeb li	yang li	control	6
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	yang pu	control	6
